ADNP
ADNP2
AEBP2
AFF3
AHR,BPTF,HSF1,HSF2,OR5I1,STAT4,CDX2,MIF,MEIS1,FOXI1,NKX6-1,NKX2-1,RREB1,MAFG,LHX3,TP53,NFE2L2,NFE2L1,CBFA2T3,CBFA2T2,POU3F1,TAF4B,HNF1A,FOXF2,ZIC2,MYC,MYB,ZIC3,FOXQ1,DDIT3,SP1,PCBP1,TFAP4,CREB1,GATA6,GATA4,SF1,GATA2,GATA3,GATA1,MAX,MAZ,RFX1,FOXA1,FOXA2,MAF,DBP,PRRX2,NR3C1,NFATC1,NFATC2,NFATC3,NFATC4,REL,POU2F1,CRX,KAT2B,HIF1A,GCM1,SPZ1,AHR,EGR2,BACH2,BACH1,EGR1,JUN,STAT5A,EGR4,SREBF1,EN1,ELK1,VSX1,NFE2,NF1,NFIL3,NR1H4,NKX2-5,ZIC1,NR1H3,UBP1,FOXJ1,FOXJ2,RELB,TCF3,RUNX2,TCF12,PAX5,CUX1,PAX6,PAX3,PAX2,STAT3,ZEB1,PAX8,STAT2,TAF7,IRF2,IRF1,TAF4,IRF7,ETV4,ETV7,ESR1,PTF1A,IRF8,HNF4A,TAF9,TAF8,GTF3A,ZHX2,MEF2A,ITGAL,ZNF423,HLF,NRF1,TFDP2,FOXC1,ZNF384,SOAT1,YY1,SMAD4,ONECUT1,PPARA,SMAD1,MYCN,SMAD3,TAF13,TAF12,TAF11,TAF10,FOXM1,RORA,NHLH1,STAT6,RUNX1,PAX4,NR6A1,STAT1,ZBTB14,MECOM,ZBTB18,TEF,NR2F2,POU6F1,FOXM1C,FOXM1B,NFKB1,NFKB2,REPIN1,GABPB2,E2F7,GABPB1,SRF,TAF6,FOXD3,RXRB,HMGA1,FOXL1,TAF3,LEF1,SRY,TGIF1,RELA,TAF2,TAF15,TAF1,ARNT,MTF1,LMO2,E2F2,STAT5B,HOXA5,HOXA4,HOXA3,NKX3-1,TBP,TAF5,GABPA,HOXA9,HAND1,HMX1,NKX2-2,TAF9B,FOXO3,PITX2,FOXO1,SOX9,GTF2A1,GTF2A2,FOXO4,ELF1,TAL1,TEAD1,ELF2,MYOG,SOX5,CEBPB,CEBPA,CEBPG,MYOD1,CEBPD,TFAP2A,SPI1,ALX1,RB1,ALX4,ETS2,ETS1,PGR,MSX1,TCF4,XBP1,NKX6-2,POU3F2,CDC5L,SP3,ESRRA,KLF12,PPARG,REST,RXRA,E4F1,AR,VDR,EBF2,PDX1,FOXD1,FOXN1,PBX1,POU1F1,E2F6,E2F5,E2F4,E2F3,GFI1,E2F1,TLX2,E2F8,TFCP2,TFDP1,EGR3,ATF4,ATF6,ATF1,TFAP2C,ATF3,ATF2
AIRE
ALX1,BPTF,HSF1,HSF2,OR5I1,STAT4,CDX2,MIF,MEIS1,FOXI1,NKX6-1,NKX2-1,RREB1,MAFG,LHX3,TP53,NFE2L2,NFE2L1,CBFA2T3,CBFA2T2,POU3F1,TAF4B,HNF1A,FOXF2,ZIC2,MYC,MYB,ZIC3,FOXQ1,DDIT3,SP1,PCBP1,TFAP4,CREB1,GATA6,GATA4,SF1,GATA2,GATA3,GATA1,MAX,MAZ,RFX1,FOXA1,FOXA2,MAF,DBP,PRRX2,NR3C1,NFATC1,NFATC2,NFATC3,NFATC4,REL,POU2F1,CRX,KAT2B,HIF1A,GCM1,SPZ1,AHR,EGR2,BACH2,BACH1,EGR1,JUN,STAT5A,EGR4,SREBF1,EN1,ELK1,VSX1,NFE2,NF1,NFIL3,NR1H4,NKX2-5,ZIC1,NR1H3,UBP1,FOXJ1,FOXJ2,RELB,TCF3,RUNX2,TCF12,PAX5,CUX1,PAX6,PAX3,PAX2,STAT3,ZEB1,PAX8,STAT2,TAF7,IRF2,IRF1,TAF4,IRF7,ETV4,ETV7,ESR1,PTF1A,IRF8,HNF4A,TAF9,TAF8,GTF3A,ZHX2,MEF2A,ITGAL,ZNF423,HLF,NRF1,TFDP2,FOXC1,ZNF384,SOAT1,YY1,SMAD4,ONECUT1,PPARA,SMAD1,MYCN,SMAD3,TAF13,TAF12,TAF11,TAF10,FOXM1,RORA,NHLH1,STAT6,RUNX1,PAX4,NR6A1,STAT1,ZBTB14,MECOM,ZBTB18,TEF,NR2F2,POU6F1,FOXM1C,FOXM1B,NFKB1,NFKB2,REPIN1,GABPB2,E2F7,GABPB1,SRF,TAF6,FOXD3,RXRB,HMGA1,FOXL1,TAF3,LEF1,SRY,TGIF1,RELA,TAF2,TAF15,TAF1,ARNT,MTF1,LMO2,E2F2,STAT5B,HOXA5,HOXA4,HOXA3,NKX3-1,TBP,TAF5,GABPA,HOXA9,HAND1,HMX1,NKX2-2,TAF9B,FOXO3,PITX2,FOXO1,SOX9,GTF2A1,GTF2A2,FOXO4,ELF1,TAL1,TEAD1,ELF2,MYOG,SOX5,CEBPB,CEBPA,CEBPG,MYOD1,CEBPD,TFAP2A,SPI1,ALX1,RB1,ALX4,ETS2,ETS1,PGR,MSX1,TCF4,XBP1,NKX6-2,POU3F2,CDC5L,SP3,ESRRA,KLF12,PPARG,REST,RXRA,E4F1,AR,VDR,EBF2,PDX1,FOXD1,FOXN1,PBX1,POU1F1,E2F6,E2F5,E2F4,E2F3,GFI1,E2F1,TLX2,E2F8,TFCP2,TFDP1,EGR3,ATF4,ATF6,ATF1,TFAP2C,ATF3,ATF2
ALX3
ALX4,BPTF,HSF1,HSF2,OR5I1,STAT4,CDX2,MIF,MEIS1,FOXI1,NKX6-1,NKX2-1,RREB1,MAFG,LHX3,TP53,NFE2L2,NFE2L1,CBFA2T3,CBFA2T2,POU3F1,TAF4B,HNF1A,FOXF2,ZIC2,MYC,MYB,ZIC3,FOXQ1,DDIT3,SP1,PCBP1,TFAP4,CREB1,GATA6,GATA4,SF1,GATA2,GATA3,GATA1,MAX,MAZ,RFX1,FOXA1,FOXA2,MAF,DBP,PRRX2,NR3C1,NFATC1,NFATC2,NFATC3,NFATC4,REL,POU2F1,CRX,KAT2B,HIF1A,GCM1,SPZ1,AHR,EGR2,BACH2,BACH1,EGR1,JUN,STAT5A,EGR4,SREBF1,EN1,ELK1,VSX1,NFE2,NF1,NFIL3,NR1H4,NKX2-5,ZIC1,NR1H3,UBP1,FOXJ1,FOXJ2,RELB,TCF3,RUNX2,TCF12,PAX5,CUX1,PAX6,PAX3,PAX2,STAT3,ZEB1,PAX8,STAT2,TAF7,IRF2,IRF1,TAF4,IRF7,ETV4,ETV7,ESR1,PTF1A,IRF8,HNF4A,TAF9,TAF8,GTF3A,ZHX2,MEF2A,ITGAL,ZNF423,HLF,NRF1,TFDP2,FOXC1,ZNF384,SOAT1,YY1,SMAD4,ONECUT1,PPARA,SMAD1,MYCN,SMAD3,TAF13,TAF12,TAF11,TAF10,FOXM1,RORA,NHLH1,STAT6,RUNX1,PAX4,NR6A1,STAT1,ZBTB14,MECOM,ZBTB18,TEF,NR2F2,POU6F1,FOXM1C,FOXM1B,NFKB1,NFKB2,REPIN1,GABPB2,E2F7,GABPB1,SRF,TAF6,FOXD3,RXRB,HMGA1,FOXL1,TAF3,LEF1,SRY,TGIF1,RELA,TAF2,TAF15,TAF1,ARNT,MTF1,LMO2,E2F2,STAT5B,HOXA5,HOXA4,HOXA3,NKX3-1,TBP,TAF5,GABPA,HOXA9,HAND1,HMX1,NKX2-2,TAF9B,FOXO3,PITX2,FOXO1,SOX9,GTF2A1,GTF2A2,FOXO4,ELF1,TAL1,TEAD1,ELF2,MYOG,SOX5,CEBPB,CEBPA,CEBPG,MYOD1,CEBPD,TFAP2A,SPI1,ALX1,RB1,ALX4,ETS2,ETS1,PGR,MSX1,TCF4,XBP1,NKX6-2,POU3F2,CDC5L,SP3,ESRRA,KLF12,PPARG,REST,RXRA,E4F1,AR,VDR,EBF2,PDX1,FOXD1,FOXN1,PBX1,POU1F1,E2F6,E2F5,E2F4,E2F3,GFI1,E2F1,TLX2,E2F8,TFCP2,TFDP1,EGR3,ATF4,ATF6,ATF1,TFAP2C,ATF3,ATF2
AR,BPTF,HSF1,HSF2,OR5I1,STAT4,CDX2,MIF,MEIS1,FOXI1,NKX6-1,NKX2-1,RREB1,MAFG,LHX3,TP53,NFE2L2,NFE2L1,CBFA2T3,CBFA2T2,POU3F1,TAF4B,HNF1A,FOXF2,ZIC2,MYC,MYB,ZIC3,FOXQ1,DDIT3,SP1,PCBP1,TFAP4,CREB1,GATA6,GATA4,SF1,GATA2,GATA3,GATA1,MAX,MAZ,RFX1,FOXA1,FOXA2,MAF,DBP,PRRX2,NR3C1,NFATC1,NFATC2,NFATC3,NFATC4,REL,POU2F1,CRX,KAT2B,HIF1A,GCM1,SPZ1,AHR,EGR2,BACH2,BACH1,EGR1,JUN,STAT5A,EGR4,SREBF1,EN1,ELK1,VSX1,NFE2,NF1,NFIL3,NR1H4,NKX2-5,ZIC1,NR1H3,UBP1,FOXJ1,FOXJ2,RELB,TCF3,RUNX2,TCF12,PAX5,CUX1,PAX6,PAX3,PAX2,STAT3,ZEB1,PAX8,STAT2,TAF7,IRF2,IRF1,TAF4,IRF7,ETV4,ETV7,ESR1,PTF1A,IRF8,HNF4A,TAF9,TAF8,GTF3A,ZHX2,MEF2A,ITGAL,ZNF423,HLF,NRF1,TFDP2,FOXC1,ZNF384,SOAT1,YY1,SMAD4,ONECUT1,PPARA,SMAD1,MYCN,SMAD3,TAF13,TAF12,TAF11,TAF10,FOXM1,RORA,NHLH1,STAT6,RUNX1,PAX4,NR6A1,STAT1,ZBTB14,MECOM,ZBTB18,TEF,NR2F2,POU6F1,FOXM1C,FOXM1B,NFKB1,NFKB2,REPIN1,GABPB2,E2F7,GABPB1,SRF,TAF6,FOXD3,RXRB,HMGA1,FOXL1,TAF3,LEF1,SRY,TGIF1,RELA,TAF2,TAF15,TAF1,ARNT,MTF1,LMO2,E2F2,STAT5B,HOXA5,HOXA4,HOXA3,NKX3-1,TBP,TAF5,GABPA,HOXA9,HAND1,HMX1,NKX2-2,TAF9B,FOXO3,PITX2,FOXO1,SOX9,GTF2A1,GTF2A2,FOXO4,ELF1,TAL1,TEAD1,ELF2,MYOG,SOX5,CEBPB,CEBPA,CEBPG,MYOD1,CEBPD,TFAP2A,SPI1,ALX1,RB1,ALX4,ETS2,ETS1,PGR,MSX1,TCF4,XBP1,NKX6-2,POU3F2,CDC5L,SP3,ESRRA,KLF12,PPARG,REST,RXRA,E4F1,AR,VDR,EBF2,PDX1,FOXD1,FOXN1,PBX1,POU1F1,E2F6,E2F5,E2F4,E2F3,GFI1,E2F1,TLX2,E2F8,TFCP2,TFDP1,EGR3,ATF4,ATF6,ATF1,TFAP2C,ATF3,ATF2
ARGFX
