10002
10009
100130934
100289635
100289678
100529855
10062,10062,1045,10472,1050,1051,1052,1054,10798,11278,126626,129685,1385,1386,1406,144455,1482,1523,1628,1649,171017,1869,1870,1871,1874,1875,1876,1877,1958,1959,196,1960,1961,1997,1998,2002,2019,2099,2101,2113,2114,2118,2122,2186,22882,22926,2295,2296,2297,2299,2300,2302,2305,2308,2309,23090,2551,2553,256297,2623,2624,2625,2626,2627,2649,2672,27022,2908,2957,2958,2971,29803,30813,3091,3131,3159,3166,3169,3170,3172,3175,3196,3200,3201,3202,3205,3297,3298,3394,3651,3659,3660,3665,367,3683,3725,4005,405,4086,4088,4089,4094,4097,4149,4150,4205,4211,4282,4303,4487,4520,4602,4609,4613,4654,4656,466,467,468,4763,4772,4773,4775,4776,4778,4779,4780,4783,4790,4791,4807,4821,4824,4825,4899,5076,5077,5078,5079,5080,5087,5093,51176,51450,51513,51616,5241,5308,5449,5451,5453,5454,5463,5465,5468,55810,571,5925,5966,5970,5971,5978,5989,60468,60529,6095,6239,6256,6257,64641,6646,6660,6662,6667,6670,6688,6720,6722,6736,6772,6773,6774,6775,6776,6777,6778,6872,6873,6874,6875,6877,6878,6879,6880,6881,6882,6883,6884,6886,6908,6925,6927,6929,6935,6938,7003,7008,7020,7022,7023,7024,7026,7027,7029,7050,7080,7157,7342,7421,7494,7528,7536,7541,7545,7546,7547,7849,79733,8022,8092,8148,83860,84504,8456,84654,8521,860,861,863,8850,9139,9421,94234,988,9971
10113
10127
10153
10168
10172
10194
10215
10224
10265
10308
10320
10365
10379
1044
1045,10062,1045,10472,1050,1051,1052,1054,10798,11278,126626,129685,1385,1386,1406,144455,1482,1523,1628,1649,171017,1869,1870,1871,1874,1875,1876,1877,1958,1959,196,1960,1961,1997,1998,2002,2019,2099,2101,2113,2114,2118,2122,2186,22882,22926,2295,2296,2297,2299,2300,2302,2305,2308,2309,23090,2551,2553,256297,2623,2624,2625,2626,2627,2649,2672,27022,2908,2957,2958,2971,29803,30813,3091,3131,3159,3166,3169,3170,3172,3175,3196,3200,3201,3202,3205,3297,3298,3394,3651,3659,3660,3665,367,3683,3725,4005,405,4086,4088,4089,4094,4097,4149,4150,4205,4211,4282,4303,4487,4520,4602,4609,4613,4654,4656,466,467,468,4763,4772,4773,4775,4776,4778,4779,4780,4783,4790,4791,4807,4821,4824,4825,4899,5076,5077,5078,5079,5080,5087,5093,51176,51450,51513,51616,5241,5308,5449,5451,5453,5454,5463,5465,5468,55810,571,5925,5966,5970,5971,5978,5989,60468,60529,6095,6239,6256,6257,64641,6646,6660,6662,6667,6670,6688,6720,6722,6736,6772,6773,6774,6775,6776,6777,6778,6872,6873,6874,6875,6877,6878,6879,6880,6881,6882,6883,6884,6886,6908,6925,6927,6929,6935,6938,7003,7008,7020,7022,7023,7024,7026,7027,7029,7050,7080,7157,7342,7421,7494,7528,7536,7541,7545,7546,7547,7849,79733,8022,8092,8148,83860,84504,8456,84654,8521,860,861,863,8850,9139,9421,94234,988,9971
1046
10472,10062,1045,10472,1050,1051,1052,1054,10798,11278,126626,129685,1385,1386,1406,144455,1482,1523,1628,1649,171017,1869,1870,1871,1874,1875,1876,1877,1958,1959,196,1960,1961,1997,1998,2002,2019,2099,2101,2113,2114,2118,2122,2186,22882,22926,2295,2296,2297,2299,2300,2302,2305,2308,2309,23090,2551,2553,256297,2623,2624,2625,2626,2627,2649,2672,27022,2908,2957,2958,2971,29803,30813,3091,3131,3159,3166,3169,3170,3172,3175,3196,3200,3201,3202,3205,3297,3298,3394,3651,3659,3660,3665,367,3683,3725,4005,405,4086,4088,4089,4094,4097,4149,4150,4205,4211,4282,4303,4487,4520,4602,4609,4613,4654,4656,466,467,468,4763,4772,4773,4775,4776,4778,4779,4780,4783,4790,4791,4807,4821,4824,4825,4899,5076,5077,5078,5079,5080,5087,5093,51176,51450,51513,51616,5241,5308,5449,5451,5453,5454,5463,5465,5468,55810,571,5925,5966,5970,5971,5978,5989,60468,60529,6095,6239,6256,6257,64641,6646,6660,6662,6667,6670,6688,6720,6722,6736,6772,6773,6774,6775,6776,6777,6778,6872,6873,6874,6875,6877,6878,6879,6880,6881,6882,6883,6884,6886,6908,6925,6927,6929,6935,6938,7003,7008,7020,7022,7023,7024,7026,7027,7029,7050,7080,7157,7342,7421,7494,7528,7536,7541,7545,7546,7547,7849,79733,8022,8092,8148,83860,84504,8456,84654,8521,860,861,863,8850,9139,9421,94234,988,9971
10481
10488
1050,10062,1045,10472,1050,1051,1052,1054,10798,11278,126626,129685,1385,1386,1406,144455,1482,1523,1628,1649,171017,1869,1870,1871,1874,1875,1876,1877,1958,1959,196,1960,1961,1997,1998,2002,2019,2099,2101,2113,2114,2118,2122,2186,22882,22926,2295,2296,2297,2299,2300,2302,2305,2308,2309,23090,2551,2553,256297,2623,2624,2625,2626,2627,2649,2672,27022,2908,2957,2958,2971,29803,30813,3091,3131,3159,3166,3169,3170,3172,3175,3196,3200,3201,3202,3205,3297,3298,3394,3651,3659,3660,3665,367,3683,3725,4005,405,4086,4088,4089,4094,4097,4149,4150,4205,4211,4282,4303,4487,4520,4602,4609,4613,4654,4656,466,467,468,4763,4772,4773,4775,4776,4778,4779,4780,4783,4790,4791,4807,4821,4824,4825,4899,5076,5077,5078,5079,5080,5087,5093,51176,51450,51513,51616,5241,5308,5449,5451,5453,5454,5463,5465,5468,55810,571,5925,5966,5970,5971,5978,5989,60468,60529,6095,6239,6256,6257,64641,6646,6660,6662,6667,6670,6688,6720,6722,6736,6772,6773,6774,6775,6776,6777,6778,6872,6873,6874,6875,6877,6878,6879,6880,6881,6882,6883,6884,6886,6908,6925,6927,6929,6935,6938,7003,7008,7020,7022,7023,7024,7026,7027,7029,7050,7080,7157,7342,7421,7494,7528,7536,7541,7545,7546,7547,7849,79733,8022,8092,8148,83860,84504,8456,84654,8521,860,861,863,8850,9139,9421,94234,988,9971
1051,10062,1045,10472,1050,1051,1052,1054,10798,11278,126626,129685,1385,1386,1406,144455,1482,1523,1628,1649,171017,1869,1870,1871,1874,1875,1876,1877,1958,1959,196,1960,1961,1997,1998,2002,2019,2099,2101,2113,2114,2118,2122,2186,22882,22926,2295,2296,2297,2299,2300,2302,2305,2308,2309,23090,2551,2553,256297,2623,2624,2625,2626,2627,2649,2672,27022,2908,2957,2958,2971,29803,30813,3091,3131,3159,3166,3169,3170,3172,3175,3196,3200,3201,3202,3205,3297,3298,3394,3651,3659,3660,3665,367,3683,3725,4005,405,4086,4088,4089,4094,4097,4149,4150,4205,4211,4282,4303,4487,4520,4602,4609,4613,4654,4656,466,467,468,4763,4772,4773,4775,4776,4778,4779,4780,4783,4790,4791,4807,4821,4824,4825,4899,5076,5077,5078,5079,5080,5087,5093,51176,51450,51513,51616,5241,5308,5449,5451,5453,5454,5463,5465,5468,55810,571,5925,5966,5970,5971,5978,5989,60468,60529,6095,6239,6256,6257,64641,6646,6660,6662,6667,6670,6688,6720,6722,6736,6772,6773,6774,6775,6776,6777,6778,6872,6873,6874,6875,6877,6878,6879,6880,6881,6882,6883,6884,6886,6908,6925,6927,6929,6935,6938,7003,7008,7020,7022,7023,7024,7026,7027,7029,7050,7080,7157,7342,7421,7494,7528,7536,7541,7545,7546,7547,7849,79733,8022,8092,8148,83860,84504,8456,84654,8521,860,861,863,8850,9139,9421,94234,988,9971
